"dateInTable","dead","cases","hosp","MACases","MAhosp","MAdead","ma_c_lag","ma_c_lead","gf_c","ma_h_lag","ma_h_lead","gf_h","ma_d_lag","ma_d_lead","gf_d"
"2020-04-22",134,708,129,955,126.857142857143,130.571428571429,1079.71428571429,789,-11.6,201.714285714286,112.142857142857,-37.1,126.142857142857,115.142857142857,3.5
"2020-04-23",133,876,132,927.285714285714,121.571428571429,124.285714285714,1060,735.857142857143,-12.5,190.142857142857,109.142857142857,-36.1,131,113,-5.1
"2020-04-24",111,805,126,866,117.428571428571,118.285714285714,1046.71428571429,686.857142857143,-17.3,182.142857142857,106.571428571429,-35.5,135.857142857143,110.857142857143,-12.9
"2020-04-25",127,647,101,789,112.142857142857,115.142857142857,1030.28571428571,612.142857142857,-23.4,171.285714285714,102.714285714286,-34.5,136.857142857143,94.2857142857143,-15.9
"2020-04-26",64,651,80,735.857142857143,109.142857142857,113,1009.14285714286,566.428571428571,-27.1,158,95.7142857142857,-30.9,134.428571428571,95.2857142857143,-15.9
"2020-04-27",44,405,61,686.857142857143,106.571428571429,110.857142857143,979,513.714285714286,-29.8,150.857142857143,89.8571428571429,-29.4,132.285714285714,88.4285714285714,-16.2
"2020-04-28",47,193,90,612.142857142857,102.714285714286,94.2857142857143,958.142857142857,467,-36.1,138.142857142857,83,-25.6,140.285714285714,87,-32.8
"2020-04-29",141,388,80,566.428571428571,95.7142857142857,95.2857142857143,955,437,-40.7,126.857142857143,82.7142857142857,-24.5,130.571428571429,81.2857142857143,-27
"2020-04-30",85,507,91,513.714285714286,89.8571428571429,88.4285714285714,927.285714285714,392.285714285714,-44.6,121.571428571429,77.2857142857143,-26.1,124.285714285714,83.8571428571429,-28.9
"2020-05-01",101,478,78,467,83,87,866,363.142857142857,-46.1,117.428571428571,73.1428571428571,-29.3,118.285714285714,79.7142857142857,-26.4
"2020-05-02",87,437,99,437,82.7142857142857,81.2857142857143,789,381.142857142857,-44.6,112.142857142857,72.2857142857143,-26.2,115.142857142857,85.8571428571429,-29.4
"2020-05-03",82,338,42,392.285714285714,77.2857142857143,83.8571428571429,735.857142857143,371.285714285714,-46.7,109.142857142857,64.4285714285714,-29.2,113,70.4285714285714,-25.8
"2020-05-04",15,201,32,363.142857142857,73.1428571428571,79.7142857142857,686.857142857143,350.428571428571,-47.1,106.571428571429,56.4285714285714,-31.4,110.857142857143,71,-28.1
"2020-05-05",90,319,84,381.142857142857,72.2857142857143,85.8571428571429,612.142857142857,327.714285714286,-37.7,102.714285714286,55.2857142857143,-29.6,94.2857142857143,67.4285714285714,-8.9
"2020-05-06",33,319,25,371.285714285714,64.4285714285714,70.4285714285714,566.428571428571,306.428571428571,-34.5,95.7142857142857,49.7142857142857,-32.7,95.2857142857143,64.4285714285714,-26.1
"2020-05-07",89,361,35,350.428571428571,56.4285714285714,71,513.714285714286,292.714285714286,-31.8,89.8571428571429,47.4285714285714,-37.2,88.4285714285714,55.4285714285714,-19.7
"2020-05-08",76,319,70,327.714285714286,55.2857142857143,67.4285714285714,467,289.571428571429,-29.8,83,47,-33.4,87,54.2857142857143,-22.5
"2020-05-09",66,288,60,306.428571428571,49.7142857142857,64.4285714285714,437,271.857142857143,-29.9,82.7142857142857,40.8571428571429,-39.9,81.2857142857143,49.4285714285714,-20.7
"2020-05-10",19,242,26,292.714285714286,47.4285714285714,55.4285714285714,392.285714285714,258.142857142857,-25.4,77.2857142857143,45.8571428571429,-38.6,83.8571428571429,52.1428571428571,-33.9
"2020-05-11",7,179,29,289.571428571429,47,54.2857142857143,363.142857142857,245.714285714286,-20.3,73.1428571428571,45,-35.7,79.7142857142857,43.7142857142857,-31.9
"2020-05-12",56,195,41,271.857142857143,40.8571428571429,49.4285714285714,381.142857142857,229,-28.7,72.2857142857143,40.2857142857143,-43.5,85.8571428571429,40,-42.4
