Gemeentecode;Gemeentenaam;aantal_inwoners;gemeente_getal
GM0375;Beverwijk;41626;113
GM0376;Blaricum;11540;114
GM0377;Bloemendaal;23571;115
GM0383;Castricum;35986;116
GM0384;Diemen;30781;117
GM0385;Edam-Volendam;36197;118
GM0388;Enkhuizen;18591;119
GM0392;Haarlem;162903;120
GM0394;Haarlemmermeer;156004;121
GM0396;Heemskerk;39182;122
GM0397;Heemstede;27234;123
GM0398;Heerhugowaard;57587;124
GM0399;Heiloo;23968;125
GM0400;Den Helder;56297;126
GM0402;Hilversum;90831;127
GM0405;Hoorn;73261;128
GM0406;Huizen;41273;129
GM0415;Landsmeer;11491;130
GM0416;Langedijk;28163;131
GM0417;Laren;11280;132
GM0420;Medemblik;45101;133
GM0431;Oostzaan;9735;134
GM0432;Opmeer;11836;135
GM0437;Ouder-Amstel;14026;136
GM0439;Purmerend;81249;137
GM0441;Schagen;46483;138
GM0448;Texel;13575;139
GM0450;Uitgeest;13666;140
GM0451;Uithoorn;29478;141
GM0453;Velsen;68648;142
GM0457;Weesp;19738;143
GM0473;Zandvoort;17116;144
GM0479;Zaanstad;156799;145
GM0482;Alblasserdam;20165;146
GM0484;Alphen aan den Rijn;111897;147
GM0489;Barendrecht;48714;148
GM0498;Drechterland;19720;149
GM0501;Brielle;17271;150
GM0502;Capelle aan den IJssel;67122;151
GM0503;Delft;103595;152
GM0505;Dordrecht;119284;153
GM0512;Gorinchem;37022;154
GM0513;Gouda;73428;155
GM0518;'s-Gravenhage;545844;156
GM0523;Hardinxveld-Giessendam;18295;157
GM0530;Hellevoetsluis;40143;158
GM0531;Hendrik-Ido-Ambacht;31202;159
GM0532;Stede Broec;21726;160
GM0534;Hillegom;22209;161
GM0537;Katwijk;65754;162
GM0542;Krimpen aan den IJssel;29528;163
GM0546;Leiden;125101;164
GM0547;Leiderdorp;27056;165
GM0553;Lisse;22955;166
GM0556;Maassluis;33213;167
GM0569;Nieuwkoop;28812;168
GM0575;Noordwijk;43508;169
GM0579;Oegstgeest;24841;170
GM0589;Oudewater;10230;171
GM0590;Papendrecht;32137;172
GM0597;Ridderkerk;46191;173
GM0599;Rotterdam;651164;174
GM0603;Rijswijk;54451;175
GM0606;Schiedam;78732;176
GM0610;Sliedrecht;25220;177
GM0613;Albrandswaard;25591;178
GM0614;Westvoorne;14731;179
GM0622;Vlaardingen;73397;180
GM0626;Voorschoten;25596;181
GM0627;Waddinxveen;29291;182
GM0629;Wassenaar;26305;183
GM0632;Woerden;52299;184
GM0637;Zoetermeer;125285;185
GM0638;Zoeterwoude;8605;186
GM0642;Zwijndrecht;44737;187
GM0654;Borsele;22739;188
GM0664;Goes;38082;189
GM0668;West Maas en Waal;19324;190
GM0677;Hulst;27557;191
GM0678;Kapelle;12695;192
GM0687;Middelburg;48823;193
GM0703;Reimerswaal;22730;194
GM0715;Terneuzen;54428;195
GM0716;Tholen;25757;196
GM0717;Veere;21880;197
GM0718;Vlissingen;44360;198
GM0736;De Ronde Venen;44456;199
GM0737;Tytsjerksteradiel;32052;200
GM0743;Asten;16721;201
GM0744;Baarle-Nassau;6859;202
GM0748;Bergen op Zoom;67496;203
GM0753;Best;29988;204
GM0755;Boekel;10785;205
GM0756;Boxmeer;29365;206
GM0757;Boxtel;30802;207
